4  21.21558777  105.82579634     42 11050  18     107.410 NB   VVNB 11L ILS-cat-I
4  21.21362588  105.82442863     42 10830  18     107.320 NBA  VVNB 11R ILS-cat-I
6  21.22330335  105.79517192     43 11050  10  300107.410 NB   VVNB 11L GS
6  21.22295240  105.78927961     42 10830  10  300107.320 NBA  VVNB 11L GS
7  21.23880800  105.74570800     39     0   0     107.248 ---- VVNB 11L OM
8  21.22793100  105.78305000     39     0   0     107.248 ---- VVNB 11L MM
12 21.22330335  105.79517192     43 11050  18       0.500 NB   VVNB 11L DME-ILS
12 21.22295240  105.78927961     42 10830  18       0.500 NBA  VVNB 11L DME-ILS
  
  
